id_contrat,date_versement,remuneration
1,2015-11-13 8:22:23,55000
2,2013-3-19 5:11:39,55000
3,2012-5-9 10:16:4,55000
4,2014-8-2 6:37:57,55000
5,2016-8-8 9:15:27,55000
6,2013-11-19 8:15:38,55000
7,2014-4-11 8:50:42,55000
8,2013-7-21 6:42:49,55000
9,2016-7-22 9:15:45,55000
10,2014-12-19 13:55:27,55000
11,2014-12-23 5:21:27,55000
12,2015-8-7 19:34:36,55000
13,2015-10-11 14:53:17,55000
14,2015-6-27 12:51:14,55000
15,2015-11-8 18:2:38,55000
16,2012-9-13 1:9:12,55000
17,2014-3-12 11:23:15,55000
18,2012-7-5 6:38:10,55000
19,2014-2-3 6:46:59,55000
20,2015-4-18 11:34:43,55000
21,2012-12-23 23:13:21,55000
22,2013-6-15 7:59:53,55000
23,2012-8-14 14:22:3,55000
24,2013-3-17 18:4:1,55000
25,2012-2-15 17:40:2,55000
26,2013-5-22 1:41:52,55000
27,2015-12-20 10:8:18,55000
28,2012-5-14 4:51:15,55000
29,2016-8-6 9:14:13,55000
30,2016-10-26 14:20:22,55000
31,2015-4-15 1:12:8,55000
32,2014-10-8 22:33:19,55000
33,2015-7-10 22:18:26,55000
34,2015-12-9 15:32:54,55000
35,2016-12-10 8:10:46,55000
36,2013-2-10 10:6:56,55000
37,2016-5-3 22:36:10,55000
38,2015-11-1 23:55:19,55000
39,2014-2-6 12:33:33,55000
40,2016-8-9 8:44:56,55000
41,2012-2-26 6:38:34,55000
42,2016-9-8 14:8:56,55000
43,2015-10-28 2:21:47,55000
44,2012-3-13 3:4:24,55000
45,2013-1-15 8:32:9,55000
46,2012-8-28 1:45:41,55000
47,2014-7-10 6:10:40,55000
48,2014-6-1 3:54:18,55000
49,2013-2-5 6:49:17,55000
50,2016-7-27 23:16:52,55000
51,2012-7-6 12:46:29,55000
52,2012-8-8 16:26:32,55000
53,2015-8-22 18:20:28,55000
54,2013-3-13 23:29:51,55000
55,2013-11-15 4:15:29,55000
56,2013-7-9 19:29:14,55000
57,2013-8-8 20:37:55,55000
58,2014-2-9 3:52:6,55000
59,2013-12-10 21:15:6,55000
60,2013-10-8 15:22:26,55000
61,2012-7-21 21:10:36,55000
62,2013-6-25 11:58:28,55000
63,2014-7-16 1:45:52,55000
64,2013-8-28 21:43:54,55000
65,2014-3-6 19:30:2,55000
66,2014-11-2 16:19:50,55000
67,2016-10-7 6:30:27,55000
68,2013-2-16 5:25:42,55000
69,2016-7-11 9:8:34,55000
70,2016-2-26 22:22:27,55000
71,2012-6-2 17:4:35,55000
72,2014-8-10 14:26:3,55000
73,2014-11-14 4:45:45,55000
74,2014-3-6 5:38:41,55000
75,2013-12-18 10:33:38,55000
76,2014-6-1 20:17:52,55000
77,2012-12-15 20:51:48,55000
78,2013-3-23 3:52:53,55000
79,2012-6-24 1:47:35,55000
